,Title,Company,Location,Rating,Date,Summary
10,Software Developer Intern - Python/Java,"

Experian","San Diego, CA",3,2 ,"

You will be working with other software developers and data scientists to develop new tools and processes for developing today’s most complicated machine…
"
11,Software Developer - VerityStream,"

HealthStream","San Diego, CA 92121",3,1 day ago,"

Codes, debugs, documents, deploys and maintains new software programs in a highly efficient and effective manner.
Maintains and modifies existing applications.
"
12,"Entry Level, Software Engineer","

PayPal","Chicago, IL 60606 (Loop area)",3,28 ,"

You will be responsible for all aspects of the software development lifecycle.
Understand Object-Oriented Design Principles.
"
13,Python Developer Intern,"
OXO Solutions","Ruby, SC",0,30 ,"

Collaborate with other developers, testers, and system engineers to ensure quality product enhancements.
We are looking for a Python Web Developer responsible…
"
14,Associate Engineer Software/Engineer Software,"

Northrop Grumman",United States,4,2 ,"

Rapid software defect root cause analysis and solution development.
Working as a member of an Agile Development Team to provide engineering solutions, System…
"
15,Associate Software Developer,"

HCL Americas","Pierce County, WA",2,7 ,"

To develop and deliver codes for the work assigned in accordance with time| quality and cost standards.
(1.) Documentation work (2.) To develop the codes for…
"
16,Associate Software Developer,"

Certified Power Inc","Fridley, MN 55421",3,2 ,"

1-year software development or business intelligence, or a related degree.
Must be able to write, update, and maintain computer programs or software packages to…
"
17,"Android Developer, iBeacons","
Computer Staff",United States,0,1 day ago,"

It would be a significant advantage, but certainly not required, for any Android developer candidate to bring knowledge, skills or experience in developing…
"
18,Junior Developer (Remote),"
Amesite Inc.","Detroit, MI",0,30 ,"

Direct experience with Agile software development methodologies a plus.
Code and test programming for software and mobile apps.
Fix bugs in existing code.
"
19,Software Developer,"
8k Miles",United States,0,30 ,"

Ensure that the software continues to function normally through software maintenance and testing.
Collaborate with other computer specialists to create optimum…
"
20,Software Developer,"

State Farm","Bloomington, IL 61702",3,2 ,"

Builds new and/or modifies existing software to meet business and technical requirements through web based software component designing, coding, testing, and…
"
21,Database Developer w/strong Postgres Skills-3,"
Nelson Interactive",California,0,8 ,"

The next generation of our Data warehouse appliance will be built and delivered in a new supply chain model.
Consequently, significant changes will be required…
"
22,"PL/SQL Software Developer - Naples, FL, Columbia, MD, Austin, TX","

Oracle","Naples, FL",3,5 ,"

As a member of the software engineering division, you will apply basic to intermediate knowledge of software architecture to perform software development tasks…
"
23,Software Developer Intern,"

Booz Allen Hamilton","Dover, NJ",3,Today,"

Serve in an internship program geared towards students who have diverse backgrounds and are equipped to solve the complex and multidimensional problems that…
"
24,Software Engineering Internship,"

Apple","Santa Clara Valley, CA 95014",4,16 ,"

Our developers are responsible for crafting the direction of our products by considering the architecture, performance, testing, design, and implementation.
"
25,Software Developer - Java /JEE / Java Frameworks L3,"

Capgemini","Boston, MA",3,Today,"

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation.
"
26,Entry Level Software Developer/Test Engineer,"
Celerant Tech",United States,0,30 ,"

Celerant Technology Corporation is a leading provider of premium, advanced retail management software for retail organizations.
Code and test new applications.
"
27,"Backend Java Developer @ Bentonville, AR. Please share ASAP","
iknowvate technologies","Bentonville, AR",0,Just posted,"

Strong knowledge of software development theory and practice.
Core java, J2EE, restful API, Microservices, spring boot.
Contribute to design and code reviews.
"
28,Software Engineer,"
Safari Solutions","South Bend, IN 46628",0,5 ,"

Senior software engineer/ software programmer / PHP / Symfony framework / RESTful hypermedia / MySQL / MongoDB / distributed systems / service-oriented…
"
29,Software Developer / Software Engineer I (Frontend Focused),"
Osano",Remote,0,7 ,"

We’re looking for a senior developer with TWO (2) or more years of experience in the world of SaaS, has a BS degree in computer science or life experience…
"
30,UI/JavaScript Developer,"
iknowvate technologies","Timonium, MD",0,Just posted,"

Automation skills and software suites including Selenium WebDriver, NUnit, Swagger UI, Postman, etc.
In this role, you will handle builds and execute manual…
"
31,.NET Engineer,"

Ansira",Not mention,3,6 ,"

NET Engineer comfortable working on a wide-variety of applications, including web applications, windows services, and web services/web API.
"
32,PHP Developer - REMOTE,"

Piper Companies",Not mention,4,5 ,"

Collaborate with other developers to ensure excellent results.
3+ years of professional software development experience with PHP.
"
33,Front End Developer,"
iknowvate technologies","Charlotte, NC",0,Just posted,"

Direct interaction with clients — PMs and stakeholders.
Occasional demos of work - excellent presentation & communication skills.
"
34,Functional Game Tester,"

Operating Company ACTIVISION PUBLISHING MINNEAPOLI...","Eden Prairie, MN",3,30 ,"

Understanding of the software test cycle process a plus.
As a Game Tester you’ll verifying functionality, data content, performance, 1st Party (Sony, Microsoft,…
"
35,"Software Developer (Full-Time, Entry-Level)","
Accelerated Information Systems","Hicksville, NY 11801",0,30 ,"

Qualified applicants must be able to design, code, test, and debug solutions for multiple clients and environments.
Handle multiple tasks on daily basis.
"
36,Software Developer (C#/ElasticSearch) - Remote,"

Piper Companies","Norristown, PA",4,5 ,"

Software developer, full stack developer, software engineer, .net developer, full stack .net developer, full stack developer, full stack engineer, c# developer,…
"
37,Application Development:Software Developer - Angular Javascript I,"
iknowvate technologies","Irving, TX",0,Just posted,"

Cooperating with the back-end developer in the process of building the RESTful API.
1 - 3 years of experience -Typical roles will focus on implementing a…
"
38,Java Software Developer,"

XPO Logistics","High Point, NC 27265",3,Just posted,"

Participate as a high-level technical expert in design development, coding, testing and debugging new software or significant enhancements to existing software…
"
39,Software Developer,"

H2 Performance Consulting",United States,4,15 ,"

Commercial and DoD software development experience.
Able to plan and provide realistic software development schedules.
ASP.NET MVC, C#, and Java development.
"
40,Software Developer,"
Eureka Infotech","Hicksville, NY 11801",0,Today,"

Gather the infrastructure requirements and setup the environments for instance Development, testing and production.
"
41,Software Developer / Software Engineer I (Frontend Focused),"
Osano, Inc., A Public Benefit Corporation","Austin, TX",0,7 ,"

We’re looking for a senior developer with TWO* (2) or more years* of experience in the world of SaaS, has a BS degree in computer science or life experience…
"
42,Intern: Software Engineer (Fall 2020),"

The Climate Corporation",Remote,3,6 ,"

Knowledge of software engineering or server-side Internet technologies.
The Climate Corporation is looking for talented and motivated Computer Science or…
"
43,Jr Software Developer,"
Intellicomm Inc","Wayne, PA",0,30 ,"

Design and develop server side, client side and web software.
Develop extensive Internet based applications.
Design and develop mobile apps.
"
44,Entry Level Software Developer,"

Dayton Freight","Dayton, OH 45414 (Northridge Estates area)",4,23 ,"

As a Software Developer you will be responsible for designing, installing, testing, and maintaining software systems.
"
45,IBM Quantum Back End Software Developer ( Any Location),"

IBM",United States,3,Today,"

IBM Quantum is an industry first initiative to build universal quantum computers for business, engineering and science.
Strong experience building web APIs .
"
46,Software Developer,"

ORBIS Corporation","Oconomowoc, WI 53066",3,Today,"

Standardizes the quality assurance procedure for software.
Codes software applications to adhere to designs supporting internal business requirements or…
"
47,Software Developer,"

KBR","Yuma, AZ",4,3 ,"

Other duties include: documenting, managing configuration, testing, analysis and bug fixing involved in creating and maintaining applications and frameworks…
"
48,Software Developer,"

UST Global","Nashville, TN",3,1 day ago,"

Full-stack developer (senior developer 1+ years’ experience).
The candidate must possess excellent written and verbal communication skills with the ability and…
"
49,Full Time Opportunities for Students or Recent Graduates: Software Engineering & Program Management,"

Microsoft","Redmond, WA",4,30 ,"

Software engineers (SWEs) work with teammates to solve problems and build innovative software solutions.
Some experience building software beyond the classroom…
"
50,Associate Software Developer ID Program,"

CastleBranch","Wilmington, NC 28405",3,30 ,"

Over the course of 6 months you will participate in a well-structured training and practical experience program leading to the position of Associate Software…
"
51,Software Developer & Programmer,"
Software for Hardware",Remote,0,6 ,"

Knowledge of software architecture principles and deployment pipelines.
4+ years’ experience in development, design, and implementation of software.
"
52,Entry-Level Software Developer,"
/n software, Inc.","Chapel Hill, NC",0,30 ,"

We are seeking an entry-level software developer to assist with technical support, and quality assurance testing.
NET, and the desire to do great work.
"
53,Entry Level Software Developer,"
EAI Technologies","Vienna, VA 22182",0,29 ,"

Design and develop dynamic Enterprise Web and Mobile applications for a variety of clients like Verizon, Capital One, and Cardinal Health in small teams.
"
54,Mainframe Cobol Developer,"
iknowvate technologies","Portland, OR",0,Just posted,"

Mainframe system analyst /troubleshooting skills.
O IMS a plus but not required.
O Strong, methodical testing skills with a focus on quality.
"
55,Software Developer,"

Metro IT Resources",Puerto Rico,4,30 ,"

Interpret detailed functional specifications to develop software that functions exactly as specified by MMM departments.
"
56,Software Developer,"

C3 Business Solutions","Newport Beach, CA 92660",3,30 ,"

Analyze and resolve customer requests for various Oracle reports utilizing APEX and/or other software solutions.
1-2 Years professional experience Programming.
"
57,JavaScript HTML5 Developer,"
INT Inc.","Houston, TX 77042 (Westchase area)",0,Just posted,"

Graphics Software developer for web based scientific applications.
Provide technical expertise in the evaluation of software solutions.
"
58,Software Developer,"
Enmark Systems","Ann Arbor, MI 48105",0,6 ,"

We are currently looking to hire a full time Software Developer to work on our ERP product, Eniteo.
Developer must be experienced with the .
"
59,.Net Developer,"

Capgemini","Dallas, TX 75247 (Northwest Dallas area)",3,Today,"

Net framework 4.5 and above.
"
60,Software Developer,"

Reynolds and Reynolds","Dayton, OH 45430",3,4 ,"

Our developers are responsible for reviewing specifications, providing technical designs, and coding and testing their own projects.
"
61,Web Software Developer,"

Northrop Grumman","Columbia, MD",4,Today,"

Write and review software documentation.
Analyze requirements to derive software design.
You will design, develop, test, deploy and maintain web-based software…
"
62,Associate Software Developer ID Program,"

Castle Branch Inc","Wilmington, NC 28405",3,30 ,"

Over the course of 6 months you will participate in a well-structured training and practical experience program leading to the position of Associate Software…
"
63,Software Developer,"
Marvel Technologies","Novi, MI 48375",0,2 ,"

Travel and/or relocation required.
"
64,Website Developer,"

odoo","San Francisco, CA 94134 (Excelsior area)",4,6 ,"
Are you ready to learn fast and have a real impact on the company? Join Odoo, a growing software company with a killer product, a huge global community, as…"
65,Software Developer,"

RADcube","Indianapolis, IN",3,1 day ago,"

Working with network administrators, systems analysts and software engineers to assist in resolving problems with software products or company software systems.
"
66,Software Developer – Entry Level,"

Valero Energy Corporation","San Antonio, TX 78249",3,30 ,"

Your role will focus on developing solutions using enterprise software platforms and integration services to enable business solutions through close…
"
67,Associate Engineer Software - DevSecOps,"

Northrop Grumman","San Diego, CA",4,2 ,"

Standup of large scale software factory used by software teams.
Climb to new heights on your journey when you start Defining Possible with Northrop Grumman.
"
68,Software Developer,"

Resolvit","Raleigh, NC 27612 (Northwest area)",3,Today,"

Recommend software solutions and improvements to existing software programs and maintain and improve the performance of existing software in a test-driven…
"
69,Software Developer,"

Textron Systems","Hunt Valley, MD 21030",3,Today,"

Test and debug software components.
Participate in gathering and clarifying software requirements.
Three (3) plus years of software development experience…
"
70,"PL/SQL Software Developer - Naples, FL, Columbia, MD, Austin, TX","

Oracle","Naples, FL",3,5 ,"

As a member of the software engineering division, you will apply basic to intermediate knowledge of software architecture to perform software development tasks…
"
71,Intern: Software Engineer (Fall 2020),"

The Climate Corporation",Remote,3,6 ,"

Knowledge of software engineering or server-side Internet technologies.
The Climate Corporation is looking for talented and motivated Computer Science or…
"
72,Front End Developer,"
iknowvate technologies","Charlotte, NC",0,Just posted,"

Direct interaction with clients — PMs and stakeholders.
Occasional demos of work - excellent presentation & communication skills.
"
73,JavaScript HTML5 Developer,"
INT Inc.","Houston, TX 77042 (Westchase area)",0,Just posted,"

Graphics Software developer for web based scientific applications.
Provide technical expertise in the evaluation of software solutions.
"
74,Software Developer,"

UST Global","Nashville, TN",3,1 day ago,"

Full-stack developer (senior developer 1+ years’ experience).
The candidate must possess excellent written and verbal communication skills with the ability and…
"
75,Entry Level Software Developer,"

Dayton Freight","Dayton, OH 45414 (Northridge Estates area)",4,23 ,"

As a Software Developer you will be responsible for designing, installing, testing, and maintaining software systems.
"
76,Functional Game Tester,"

Operating Company ACTIVISION PUBLISHING MINNEAPOLI...","Eden Prairie, MN",3,30 ,"

Understanding of the software test cycle process a plus.
As a Game Tester you’ll verifying functionality, data content, performance, 1st Party (Sony, Microsoft,…
"
77,Web Application Developer,"
SpotRight",United States,0,Today,"

Develop design, implement, and test application software.
Independently performs analysis to develop and implement high level designs.
"
78,Software Developer,"
Enmark Systems","Ann Arbor, MI 48105",0,6 ,"

We are currently looking to hire a full time Software Developer to work on our ERP product, Eniteo.
Developer must be experienced with the .
"
79,Associate Software Developer ID Program,"

CastleBranch","Wilmington, NC 28405",3,30 ,"

Over the course of 6 months you will participate in a well-structured training and practical experience program leading to the position of Associate Software…
"
